time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.43744837720839,-0.2157894736843532,2026-04-13,EURUSD,1834.25,566.7375168835849,False,2353684.2105263,-1.2638125740085764,0,0.0,0,0,0.0,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.4374483772083891,-0.2157894736843532,2026-04-08,EURUSD,1786.5,577.1372378423004,False,2353684.2105263,-1.1583033569262573,0,0.0,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.4374483772083891,-0.2157894736843532,2026-04-09,EURUSD,1738.75,583.2880748487495,False,2353684.2105263,-1.0642254261084605,0,0.0,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.4374483772083891,-0.2157894736843532,2026-04-02,EURUSD,1691.0,585.323990549621,False,2353684.2105263,-0.9789450103725513,0,0.0,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.4374483772083891,-0.2157894736843532,2026-04-06,EURUSD,1643.25,583.2880748487471,False,2353684.2105263,-0.9004984374763907,0,1.7000000000000348,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.43744837720839,-0.2157894736843532,2026-04-14,EURUSD,1595.5,577.1372378422956,False,2353684.2105263,-0.8273595406616144,0,1.7000000000000348,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-16 23:00:00,1.17811,1.178335,1.17786,1.177995,0.0,0.0,4.391559025060905e-08,1118,0.0,-0.4374483772083891,-0.2157894736843532,2026-04-04,EURUSD,1547.75,566.7375168835778,False,2353684.2105263,-0.7582875444051476,0,1.7000000000000348,0,0,1.7000000000000348,0,0,1.7000000000000348,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.476919864108374,0.2647058823527107,2026-04-15,EURUSD,1460.9166666666667,610.20908153541,False,529411.7647058715,-2.5384854384077156,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-09,EURUSD,1374.0833333333333,638.5789874309099,False,529411.7647058715,-2.18670375675365,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-05,EURUSD,1287.25,653.8160391450765,False,529411.7647058715,-1.9359083002323747,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-08,EURUSD,1200.4166666666667,656.8348291263936,False,529411.7647058715,-1.7456548224656707,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-11,EURUSD,1113.5833333333333,647.8061919422456,False,529411.7647058715,-1.5959289097687601,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-06,EURUSD,1026.75,626.2092475674573,False,529411.7647058715,-1.4760731810013852,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-12,EURUSD,939.9166666666666,590.6669713250952,False,529411.7647058715,-1.3807271837399466,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083743,0.2647058823527107,2026-04-13,EURUSD,853.0833333333334,538.4247488227052,False,529411.7647058715,-1.3086421363329768,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-04,EURUSD,766.25,463.8741630337887,False,529411.7647058715,-1.263812574008593,0,0.0,0,0,0.0,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-07,EURUSD,727.1666666666666,472.38632556369816,False,529411.7647058715,-1.1583033569262722,0,0.0,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.476919864108372,0.2647058823527107,2026-04-14,EURUSD,688.0833333333334,477.42078028625474,False,529411.7647058715,-1.0642254261084734,0,0.0,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-02,EURUSD,649.0,479.08717551087744,False,529411.7647058715,-0.978945010372563,0,0.0,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,0.0,0.2647058823527107,2026-04-16,EURUSD,609.9166666666666,477.4207802862524,False,529411.7647058715,-0.9004984374764015,0,3.700000000002035,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-03,EURUSD,570.8333333333334,472.38632556369345,False,529411.7647058715,-0.8273595406616243,0,3.700000000002035,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 00:00:00,1.17807,1.178245,1.177905,1.178165,0.0,0.0,3.032631018676129e-08,180,0.0,-2.4769198641083663,0.2647058823527107,2026-04-10,EURUSD,531.75,463.8741630337815,False,529411.7647058715,-0.7582875444051579,0,3.700000000002035,0,0,3.700000000002035,0,0,3.700000000002035,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-07,EURUSD,533.6666666666666,466.4894487520141,False,1763636.3636360832,0.6549777972350413,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-09,EURUSD,535.5833333333334,469.08198195726726,False,1763636.3636360832,0.7040008660759755,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167048,0.2045454545457527,2026-04-14,EURUSD,537.5,471.6521378413241,False,1763636.3636360832,0.7576007471741557,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-12,EURUSD,539.4166666666666,474.20028025820284,False,1763636.3636360832,0.8167532809850249,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-08,EURUSD,541.3333333333334,476.7267621992268,False,1763636.3636360832,0.882751454226841,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-02,EURUSD,543.25,479.231926242703,False,1763636.3636360832,0.9573531701023742,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
